ratio,jaccard,tfidf,embedding
0.05,0.8309859154929577,0.9882166899443485,0.9932783
0.1,0.9117647058823529,1.0000000000000002,0.96125895
0.15,0.7333333333333333,0.9528771296178329,0.94181836
0.2,0.7808219178082192,0.9693629780006766,0.969924
0.25,0.8571428571428571,0.9882166899443485,0.9753326
0.05,0.8628571428571429,0.9855541097228279,0.948485
0.1,0.9176470588235294,0.9947461123081982,0.9519991
0.15,0.9235294117647059,0.9869368721022254,0.99318004
0.2,0.7157894736842105,0.9597383596262716,0.94632137
0.25,0.8314606741573034,0.9763864756432152,0.98745763
0.05,0.9393939393939394,1.0000000000000002,0.9813235
0.1,0.8285714285714286,0.9604738561139352,0.997598
0.15,0.6842105263157895,0.9224609847314474,0.99539536
0.2,0.6842105263157895,0.9412837453656245,0.98193175
0.25,0.72,0.9322053497824787,0.9837531
0.05,0.8704663212435233,0.9963607595557243,0.985066
0.1,0.7832512315270936,0.9922657700712351,0.9703829
0.15,0.7403846153846154,0.9900480718856862,0.981091
0.2,0.7572815533980582,0.9851056281490779,0.97688913
0.25,0.6728110599078341,0.977847751677078,0.9662677
0.05,0.7941176470588235,0.9857741306743177,0.97310257
0.1,0.7183098591549296,0.9630608714345934,0.9862267
0.15,0.8769230769230769,1.0000000000000002,0.99672866
0.2,0.7183098591549296,0.9630608714345938,0.99486893
0.25,0.6712328767123288,0.9274450663166494,0.98958886
0.05,0.8257575757575758,0.9922142393593983,0.9656751
0.1,0.8181818181818182,0.9897372190615907,0.9853114
0.15,0.889763779527559,0.9897372190615907,0.97208005
0.2,0.6066666666666667,0.9551996833931973,0.95907265
0.25,0.6783216783216783,0.965251080552203,0.9575864
0.05,0.8604651162790697,0.9898296827871458,0.98540926
0.1,0.7391304347826086,0.9770244310751706,0.9803175
0.15,0.6901408450704225,0.9670001869922625,0.96232927
0.2,0.6216216216216216,0.95141386963423,0.97733086
0.25,0.6438356164383562,0.9613734090682646,0.98134726
0.05,0.7075471698113207,0.9722536783048522,0.9766017
0.1,0.5423728813559322,0.9322418994900242,0.9831692
0.15,0.5470085470085471,0.9352878317917082,0.97916377
0.2,0.472,0.9081652685123103,0.93698955
0.25,0.4296875,0.875089399403252,0.96760964
0.05,0.7908496732026143,0.9925156309277408,0.9813287
0.1,0.7142857142857143,0.9756368841976094,0.9799363
0.15,0.5649717514124294,0.9531296826730415,0.91060376
0.2,0.46808510638297873,0.9230335888912908,0.819339
0.25,0.5964912280701754,0.9647566845789954,0.8692262
0.05,0.6468085106382979,0.9852039166351507,0.85242355
0.1,0.72,0.9844425519863476,0.88788307
0.15,0.6398305084745762,0.9753266025617164,0.8894301
0.2,0.549800796812749,0.9681547386027792,0.8570577
0.25,0.573170731707317,0.9646786061729669,0.91173416
0.05,0.8962962962962963,0.9964017833692078,0.9923425
0.1,0.8028169014084507,0.9928163295430169,0.97651154
0.15,0.7619047619047619,0.9818309496270965,0.9905556
0.2,0.6838709677419355,0.9709159332677274,0.9807527
0.25,0.6,0.9571392537206015,0.9784299
0.05,0.6818181818181818,0.9540356741795386,0.98107076
0.1,0.7529411764705882,0.9742940502696613,0.9911791
0.15,0.7126436781609196,0.9768855811104014,0.9817556
0.2,0.5050505050505051,0.9070061281270079,0.98155403
0.25,0.7325581395348837,0.962298248144646,0.96915555
0.05,0.8838951310861424,0.993494201346946,0.9068889
0.1,0.7622377622377622,0.9874218902956277,0.9463006
0.15,0.6451612903225806,0.9714424153220111,0.9414164
0.2,0.5924764890282131,0.9683764545606593,0.95205575
0.25,0.5950155763239875,0.9664240770256285,0.96787584
0.05,0.87,0.9981381921801438,0.9742042
0.1,0.824390243902439,0.9911799180217353,0.96968013
0.15,0.6741071428571429,0.9823404439476544,0.9749968
0.2,0.7534883720930232,0.9860382174006241,0.9404
0.25,0.6592920353982301,0.9774285034295989,0.9680054
0.05,0.822429906542056,0.9820658615056137,0.976426
0.1,0.7727272727272727,0.9692129999618528,0.96007574
0.15,0.6495726495726496,0.9453174219895798,0.92690593
0.2,0.5114503816793893,0.9025590881587575,0.9593444
0.25,0.6869565217391305,0.9686107503690258,0.9659563
0.05,0.8309859154929577,0.995841189981206,0.92524683
0.1,0.7224669603524229,0.9859392318956967,0.95053494
0.15,0.7268722466960352,0.9870437402467002,0.9556879
0.2,0.5595238095238095,0.967120353923368,0.92999643
0.25,0.6322314049586777,0.9756965361959453,0.94563454
0.05,0.835820895522388,0.9864072730818405,0.982875
0.1,0.8769230769230769,0.9864680412728396,0.9887174
0.15,0.9365079365079365,0.9864680412728395,0.9999387
0.2,0.6712328767123288,0.9394289245631767,0.95376825
0.25,0.7083333333333334,0.9437714837161858,0.97457117
0.05,0.9587628865979382,0.9999999999999991,0.98109907
0.1,0.8269230769230769,0.9875684553675524,0.973784
